Sim,Reg,RLab,CLab,Year,Value
COMP,USA,agr,agr-a,0,48524.20506146303
COMP,USA,man,agr-a,0,90677.43447062759
COMP,USA,srv,agr-a,0,107795.95765963642
COMP,USA,LAB,agr-a,0,61528.89065298753
COMP,USA,CAP,agr-a,0,117235.46221753815
COMP,USA,itax,agr-a,0,-6563.432754533676
COMP,USA,vtax,agr-a,0,-7567.056965915177
COMP,USA,agr-a,agr,0,411631.46034179535
COMP,USA,agr-a,man,0,0.0
COMP,USA,agr-a,srv,0,0.0
COMP,USA,agr,man-a,0,211170.62872693254
COMP,USA,man,man-a,0,3.4347386698438083e6
COMP,USA,srv,man-a,0,1.5420337466047893e6
COMP,USA,LAB,man-a,0,1.5438559260115856e6
COMP,USA,CAP,man-a,0,810144.902897289
COMP,USA,itax,man-a,0,18907.74836034666
COMP,USA,vtax,man-a,0,259830.29511797128
COMP,USA,man-a,agr,0,0.0
COMP,USA,man-a,man,0,7.820681917562762e6
COMP,USA,man-a,srv,0,0.0
COMP,USA,agr,srv-a,0,33587.42629564671
COMP,USA,man,srv-a,0,2.0747211577308392e6
COMP,USA,srv,srv-a,0,5.50551481476478e6
COMP,USA,LAB,srv-a,0,7.4033951872022515e6
COMP,USA,CAP,srv-a,0,3.1039422021184023e6
COMP,USA,itax,srv-a,0,56347.883590719604
COMP,USA,vtax,srv-a,0,1.2205884500461495e6
COMP,USA,srv-a,agr,0,0.0
COMP,USA,srv-a,man,0,0.0
COMP,USA,srv-a,srv,0,1.9398097121748798e7
COMP,USA,ptax,agr,0,1304.8611403851576
COMP,USA,ptax,man,0,89061.23163353576
COMP,USA,ptax,srv,0,554608.4981439451
COMP,USA,USA,agr,0,0.0
COMP,USA,E27,agr,0,1758.4125486740288
COMP,USA,ROW,agr,0,46136.51701327154
COMP,USA,mtax,agr,0,265.9608236538919
COMP,USA,agr,USA,0,0.0
COMP,USA,agr,E27,0,6052.084669829293
COMP,USA,agr,ROW,0,81037.93576038619
COMP,USA,etax,agr,0,0.0013751757875100415
COMP,USA,USA,man,0,0.0
COMP,USA,E27,man,0,316692.0904892977
COMP,USA,ROW,man,0,1.9233338020091387e6
COMP,USA,mtax,man,0,29379.274598642154
COMP,USA,man,USA,0,0.0
COMP,USA,man,E27,0,235772.0560664838
COMP,USA,man,ROW,0,1.089634095862955e6
COMP,USA,etax,man,0,4114.336534123473
COMP,USA,USA,srv,0,0.0
COMP,USA,E27,srv,0,116109.93511689616
COMP,USA,ROW,srv,0,272746.83878996567
COMP,USA,mtax,srv,0,0.0
COMP,USA,srv,USA,0,0.0
COMP,USA,srv,E27,0,146251.17846681486
COMP,USA,srv,ROW,0,281430.67036514636
COMP,USA,etax,srv,0,0.0
COMP,USA,USA,BoP,0,0.0
COMP,USA,E27,BoP,0,388075.319203128
COMP,USA,ROW,BoP,0,1.4521027019884875e6
COMP,USA,BoP,USA,0,0.0
COMP,USA,BoP,E27,0,434560.4381548679
COMP,USA,BoP,ROW,0,2.2422171578123756e6
COMP,USA,RegY,LAB,0,7.084500358719507e6
COMP,USA,dtax,LAB,0,1.9242796451472882e6
COMP,USA,RegY,CAP,0,3.703130385369412e6
COMP,USA,dtax,CAP,0,328192.1818638035
COMP,USA,hhd,RegY,0,1.088762921372132e7
COMP,USA,inv,RegY,0,155867.43929298967
COMP,USA,gov,RegY,0,2.5675706208780953e6
COMP,USA,deprY,RegY,0,1.9227223053374873e6
COMP,USA,inv,deprY,0,1.9227223053374873e6
COMP,USA,agr,hhd,0,80448.6449383991
COMP,USA,agr,gov,0,139.7491898274105
COMP,USA,agr,inv,0,136.54174229281676
COMP,USA,man,hhd,0,2.115672613093973e6
COMP,USA,man,gov,0,3264.0886438021503
COMP,USA,man,inv,0,1.1387826530822816e6
COMP,USA,srv,hhd,0,8.43761079996221e6
COMP,USA,srv,gov,0,2.56416675830717e6
COMP,USA,srv,inv,0,1.71617223252151e6
COMP,USA,itax,hhd,0,253897.15572675804
COMP,USA,itax,gov,0,0.024737367529150404
COMP,USA,itax,inv,0,19511.77602430932
COMP,USA,agr,tmg,0,0.0
COMP,USA,man,tmg,0,0.0
COMP,USA,srv,tmg,0,40586.27792813346
COMP,USA,tmg,BoP,0,40586.27792813346
COMP,USA,inv,BoP,0,796013.6013143453
COMP,USA,RegY,itax,0,342101.15568496747
COMP,USA,RegY,vtax,0,1.4728516881982055e6
COMP,USA,RegY,ptax,0,644974.590917866
COMP,USA,RegY,mtax,0,29645.235422296046
COMP,USA,RegY,etax,0,4114.337909299261
COMP,USA,RegY,dtax,0,2.2524718270110916e6
COMP,E27,agr,agr-a,0,59174.93296044458
COMP,E27,man,agr-a,0,111569.63946243517
COMP,E27,srv,agr-a,0,73439.68210357812
COMP,E27,LAB,agr-a,0,119417.43066549442
COMP,E27,CAP,agr-a,0,115193.71275119307
COMP,E27,itax,agr-a,0,8413.844791719257
COMP,E27,vtax,agr-a,0,48848.80932355922
COMP,E27,agr-a,agr,0,536058.052058426
COMP,E27,agr-a,man,0,0.0
COMP,E27,agr-a,srv,0,0.0
COMP,E27,agr,man-a,0,324502.51733418024
COMP,E27,man,man-a,0,5.087687877364674e6
COMP,E27,srv,man-a,0,2.0563983238629575e6
COMP,E27,LAB,man-a,0,1.3123446560779738e6
COMP,E27,CAP,man-a,0,1.181434825309368e6
COMP,E27,itax,man-a,0,90662.42451988562
COMP,E27,vtax,man-a,0,584733.6490339356
COMP,E27,man-a,agr,0,0.0
COMP,E27,man-a,man,0,1.0637764273503022e7
COMP,E27,man-a,srv,0,0.0
COMP,E27,agr,srv-a,0,54158.34366838225
COMP,E27,man,srv-a,0,2.593732516695914e6
COMP,E27,srv,srv-a,0,5.705195763700782e6
COMP,E27,LAB,srv-a,0,3.662977748092604e6
COMP,E27,CAP,srv-a,0,4.275785243959222e6
COMP,E27,itax,srv-a,0,205603.63400093472
COMP,E27,vtax,srv-a,0,1.6557310519900378e6
COMP,E27,srv-a,agr,0,0.0
COMP,E27,srv-a,man,0,0.0
COMP,E27,srv-a,srv,0,1.8153184302107908e7
COMP,E27,ptax,agr,0,1793.6918951833238
COMP,E27,ptax,man,0,573211.3021023716
COMP,E27,ptax,srv,0,251273.33589039047
COMP,E27,USA,agr,0,6213.476974408567
COMP,E27,E27,agr,0,88303.36681916677
COMP,E27,ROW,agr,0,65069.9157136313
COMP,E27,mtax,agr,0,1529.2309798175104
COMP,E27,agr,USA,0,1547.6682048714738
COMP,E27,agr,E27,0,83938.24763897952
COMP,E27,agr,ROW,0,35728.448667588746
COMP,E27,etax,agr,0,-109.35411644259754
COMP,E27,USA,man,0,240895.8860838581
COMP,E27,E27,man,0,2.57940089383909e6
COMP,E27,ROW,man,0,1.9666458154604079e6
COMP,E27,mtax,man,0,33120.52567330065
COMP,E27,man,USA,0,306658.59885452705
COMP,E27,man,E27,0,2.523312315705392e6
COMP,E27,man,ROW,0,1.7060345310059527e6
COMP,E27,etax,man,0,-2457.2711255388735
COMP,E27,USA,srv,0,146251.1784668144
COMP,E27,E27,srv,0,621919.2942518969
COMP,E27,ROW,srv,0,539369.5691967012
COMP,E27,mtax,srv,0,0.0
COMP,E27,srv,USA,0,116109.93511689609
COMP,E27,srv,E27,0,621919.2942518967
COMP,E27,srv,ROW,0,556375.5348285346
COMP,E27,etax,srv,0,0.0
COMP,E27,USA,BoP,0,424316.20217629464
COMP,E27,E27,BoP,0,3.2291698575962684e6
COMP,E27,ROW,BoP,0,2.2981385145020764e6
COMP,E27,BoP,USA,0,393360.54152508103
COMP,E27,BoP,E27,0,3.289623554910154e6
COMP,E27,BoP,ROW,0,2.5710853003707402e6
COMP,E27,RegY,LAB,0,3.7233664492863943e6
COMP,E27,dtax,LAB,0,1.3713733855496794e6
COMP,E27,RegY,CAP,0,5.22364275824174e6
COMP,E27,dtax,CAP,0,348771.023778046
COMP,E27,hhd,RegY,0,8.91114317509848e6
COMP,E27,inv,RegY,0,849563.7938798865
COMP,E27,gov,RegY,0,3.320237267783095e6
COMP,E27,deprY,RegY,0,2.1228397400508355e6
COMP,E27,inv,deprY,0,2.1228397400508355e6
COMP,E27,agr,hhd,0,134173.73817365416
COMP,E27,agr,gov,0,382.4656192762507
COMP,E27,agr,inv,0,5252.017802083175
COMP,E27,man,hhd,0,2.7475081405226216e6
COMP,E27,man,gov,0,55450.43141283263
COMP,E27,man,inv,0,896627.6710090189
COMP,E27,srv,hhd,0,4.958365400331256e6
COMP,E27,srv,gov,0,3.2635723359905207e6
COMP,E27,srv,inv,0,2.0700035720577037e6
COMP,E27,itax,hhd,0,1.0710958960707628e6
COMP,E27,itax,gov,0,832.0347606302166
COMP,E27,itax,inv,0,12347.554165784288
COMP,E27,agr,tmg,0,0.0
COMP,E27,man,tmg,0,0.0
COMP,E27,srv,tmg,0,290617.82203906344
COMP,E27,tmg,BoP,0,290617.82203906344
COMP,E27,inv,BoP,0,11827.281103840014
COMP,E27,RegY,itax,0,1.3889553883097167e6
COMP,E27,RegY,vtax,0,2.2893135103475326e6
COMP,E27,RegY,ptax,0,826278.3298879453
COMP,E27,RegY,mtax,0,34649.756653118166
COMP,E27,RegY,etax,0,-2566.625241981471
COMP,E27,RegY,dtax,0,1.7201444093277254e6
COMP,ROW,agr,agr-a,0,439906.3244644545
COMP,ROW,man,agr-a,0,598918.7269519977
COMP,ROW,srv,agr-a,0,409617.40503944445
COMP,ROW,LAB,agr-a,0,1.1332070928338205e6
COMP,ROW,CAP,agr-a,0,1.2307267304540242e6
COMP,ROW,itax,agr-a,0,-1522.772582678444
COMP,ROW,vtax,agr-a,0,7938.558381907358
COMP,ROW,agr-a,agr,0,3.81879206554301e6
COMP,ROW,agr-a,man,0,0.0
COMP,ROW,agr-a,srv,0,0.0
COMP,ROW,agr,man-a,0,1.8203502614247885e6
COMP,ROW,man,man-a,0,1.735201851020659e7
COMP,ROW,srv,man-a,0,5.556870744577959e6
COMP,ROW,LAB,man-a,0,3.8350114386959528e6
COMP,ROW,CAP,man-a,0,5.939689409987822e6
COMP,ROW,itax,man-a,0,117026.59921004757
COMP,ROW,vtax,man-a,0,442702.2476208047
COMP,ROW,man-a,agr,0,0.0
COMP,ROW,man-a,man,0,3.5063669211724356e7
COMP,ROW,man-a,srv,0,0.0
COMP,ROW,agr,srv-a,0,244572.51603007477
COMP,ROW,man,srv-a,0,7.380855035352317e6
COMP,ROW,srv,srv-a,0,1.1516401035018597e7
COMP,ROW,LAB,srv-a,0,1.2189072665126638e7
COMP,ROW,CAP,srv-a,0,1.0622879010991659e7
COMP,ROW,itax,srv-a,0,227940.8836185464
COMP,ROW,vtax,srv-a,0,1.605477291214713e6
COMP,ROW,srv-a,agr,0,0.0
COMP,ROW,srv-a,man,0,0.0
COMP,ROW,srv-a,srv,0,4.378719843735266e7
COMP,ROW,ptax,agr,0,-13997.420358019755
COMP,ROW,ptax,man,0,398872.2202298805
COMP,ROW,ptax,srv,0,392028.6232219952
COMP,ROW,USA,agr,0,92484.07481289236
COMP,ROW,E27,agr,0,38674.02672463717
COMP,ROW,ROW,agr,0,224687.80710057373
COMP,ROW,mtax,agr,0,38543.91160057768
COMP,ROW,agr,USA,0,38374.26433205415
COMP,ROW,agr,E27,0,58519.323773084165
COMP,ROW,agr,ROW,0,197868.85593847558
COMP,ROW,etax,agr,0,-110.26865276704552
COMP,ROW,USA,man,0,1.144752199496636e6
COMP,ROW,E27,man,0,1.770770744568385e6
COMP,ROW,ROW,man,0,6.297942005161408e6
COMP,ROW,mtax,man,0,376521.8632517108
COMP,ROW,man,USA,0,1.8377267148998855e6
COMP,ROW,man,E27,0,1.8849954964601211e6
COMP,ROW,man,ROW,0,5.9405297228002455e6
COMP,ROW,etax,man,0,246565.142412625
COMP,ROW,USA,srv,0,281430.67036514543
COMP,ROW,E27,srv,0,556375.5348285349
COMP,ROW,ROW,srv,0,815971.0879072105
COMP,ROW,mtax,srv,0,27.682350808598144
COMP,ROW,srv,USA,0,272746.8387899653
COMP,ROW,srv,E27,0,539369.5691967006
COMP,ROW,srv,ROW,0,815971.0879072096
COMP,ROW,etax,srv,0,0.0
COMP,ROW,USA,BoP,0,2.1488478180219047e6
COMP,ROW,E27,BoP,0,2.482884389429906e6
COMP,ROW,ROW,BoP,0,6.95436966664593e6
COMP,ROW,BoP,USA,0,1.5186669446746737e6
COMP,ROW,BoP,E27,0,2.365820306121557e6
COMP,ROW,BoP,ROW,0,7.338600900169192e6
COMP,ROW,RegY,LAB,0,1.5302322309558995e7
COMP,ROW,dtax,LAB,0,1.8549688870974348e6
COMP,ROW,RegY,CAP,0,1.6639142671589471e7
COMP,ROW,dtax,CAP,0,1.1541524798440493e6
COMP,ROW,hhd,RegY,0,2.2325032381576158e7
COMP,ROW,inv,RegY,0,6.350374094089928e6
COMP,ROW,gov,RegY,0,6.670741713841145e6
COMP,ROW,deprY,RegY,0,5.393422492569771e6
COMP,ROW,inv,deprY,0,5.393422492569771e6
COMP,ROW,agr,hhd,0,1.2831350946147828e6
COMP,ROW,agr,gov,0,6342.902589456649
COMP,ROW,agr,inv,0,110004.63705076704
COMP,ROW,man,hhd,0,6.622506695836843e6
COMP,ROW,man,gov,0,120463.98356245924
COMP,ROW,man,inv,0,3.5610776081918865e6
COMP,ROW,srv,hhd,0,1.2969105186054865e7
COMP,ROW,srv,gov,0,6.514761380564899e6
COMP,ROW,srv,inv,0,6.793362538727233e6
COMP,ROW,itax,hhd,0,1.450285405069229e6
COMP,ROW,itax,gov,0,29173.447124612518
COMP,ROW,itax,inv,0,471510.92027244595
COMP,ROW,agr,tmg,0,0.0
COMP,ROW,man,tmg,0,0.0
COMP,ROW,srv,tmg,0,444826.2575658762
COMP,ROW,tmg,BoP,0,444826.2575658762
COMP,ROW,inv,BoP,0,-807840.8824181854
COMP,ROW,RegY,itax,0,2.2944144827122027e6
COMP,ROW,RegY,vtax,0,2.056118097217425e6
COMP,ROW,RegY,ptax,0,776903.4230938558
COMP,ROW,RegY,mtax,0,415093.45720309706
COMP,ROW,RegY,etax,0,246454.87375985793
